question,answer,guess,label
enormously,tremendously,decidedly,wrong
provisions,stipulations,interrelations,guess
haphazardly,randomly,densely,guess
prominent,conspicuous,battered,wrong
zenith,pinnacle,decline,guess
flawed,imperfect,lustrous,guess
urgently,desperately,typically,guess
consumed,eaten,eaten,correct
advent,coming,coming,guess
concisely,succinctly,succinctly,guess
salutes,greetings,greetings,correct
solitary,alone,fearless,wrong
hasten,accelerate,accompany,wrong
perseverance,endurance,generosity,guess
fanciful,imaginative,familiar,guess
showed,demonstrated,repeated,wrong
constantly,continually,continually,correct
issues,subjects,benefits,wrong
furnish,supply,supply,correct
costly,expensive,popular,wrong
recognized,acknowledged,welcomed,wrong
spot,location,sea,wrong
make,earn,earn,correct
often,frequently,hardly,wrong
easygoing,relaxed,farming,guess
debate,argument,election,wrong
narrow,thin,thin,correct
arranged,planned,discarded,wrong
infinite,limitless,unusual,wrong
showy,striking,prickly,guess
levied,imposed,imposed,correct
deftly,skillfully,occasionally,wrong
distribute,circulate,research,wrong
discrepancies,differences,deposits,guess
prolific,productive,capable,guess
unmatched,unequaled,unequaled,guess
peculiarly,uniquely,partly,wrong
hue,color,color,correct
hind,rear,hairy,wrong
highlight,accentuate,alter,guess
hastily,hurriedly,hurriedly,correct
temperate,mild,mild,correct
grin,smile,joke,wrong
verbally,orally,overtly,guess
physician,doctor,nurse,wrong
essentially,basically,ordinarily,guess
keen,sharp,sharp,correct
situated,positioned,emptying,wrong
principal,major,major,correct
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,customers,guess
unlikely,improbable,disagreeable,wrong
halfheartedly,apathetically,customarily,guess
annals,chronicles,chronicles,guess
wildly,furiously,abruptly,wrong
hailed,acclaimed,judged,wrong
command,mastery,observation,wrong
concocted,devised,devised,guess
prospective,potential,particular,guess
generally,broadly,accurately,wrong
sustained,prolonged,refined,guess
perilous,dangerous,offensive,wrong
tranquillity,peacefulness,weariness,wrong
dissipate,disperse,disguise,guess
primarily,chiefly,consistently,guess
colloquial,conversational,conversational,guess
resolved,settled,forgotten,wrong
feasible,possible,possible,guess
expeditiously,rapidly,frequently,guess
percentage,proportion,proportion,guess
terminated,ended,ended,guess
uniform,alike,sharp,wrong
figure,solve,divide,wrong
sufficient,enough,recent,wrong
fashion,manner,manner,correct
marketed,sold,sweetened,guess
bigger,larger,larger,correct
roots,origins,function,wrong
normally,ordinarily,ordinarily,guess
