question,answer,guess,label
enormously,tremendously,tremendously,correct
provisions,stipulations,stipulations,correct
haphazardly,randomly,densely,wrong
prominent,conspicuous,conspicuous,correct
zenith,pinnacle,outset,wrong
flawed,imperfect,imperfect,correct
urgently,desperately,typically,wrong
consumed,eaten,supplied,wrong
advent,coming,coming,correct
concisely,succinctly,succinctly,correct
salutes,greetings,privileges,wrong
solitary,alone,restless,wrong
hasten,accelerate,accelerate,correct
perseverance,endurance,endurance,correct
fanciful,imaginative,imaginative,correct
showed,demonstrated,repeated,wrong
constantly,continually,accidentally,wrong
issues,subjects,benefits,wrong
furnish,supply,advise,wrong
costly,expensive,expensive,correct
recognized,acknowledged,acknowledged,correct
spot,location,location,correct
make,earn,borrow,wrong
often,frequently,hardly,wrong
easygoing,relaxed,relaxed,correct
debate,argument,election,wrong
narrow,thin,thin,correct
arranged,planned,studied,wrong
infinite,limitless,relative,wrong
showy,striking,incidental,wrong
levied,imposed,imposed,correct
deftly,skillfully,occasionally,wrong
distribute,circulate,commercialize,wrong
discrepancies,differences,differences,correct
prolific,productive,promising,wrong
unmatched,unequaled,unrecognized,wrong
peculiarly,uniquely,patriotically,guess
hue,color,color,correct
hind,rear,rear,correct
highlight,accentuate,alter,wrong
hastily,hurriedly,hurriedly,correct
temperate,mild,windy,wrong
grin,smile,smile,correct
verbally,orally,orally,correct
physician,doctor,nurse,wrong
essentially,basically,possibly,wrong
keen,sharp,useful,wrong
situated,positioned,positioned,correct
principal,major,major,correct
slowly,gradually,gradually,correct
built,constructed,organized,wrong
tasks,jobs,materials,wrong
unlikely,improbable,different,wrong
halfheartedly,apathetically,unconventionally,guess
annals,chronicles,chronicles,correct
wildly,furiously,furiously,correct
hailed,acclaimed,acclaimed,correct
command,mastery,observation,wrong
concocted,devised,devised,correct
prospective,potential,prominent,wrong
generally,broadly,accurately,wrong
sustained,prolonged,prolonged,correct
perilous,dangerous,binding,wrong
tranquillity,peacefulness,peacefulness,correct
dissipate,disperse,disperse,correct
primarily,chiefly,consistently,wrong
colloquial,conversational,conversational,correct
resolved,settled,examined,wrong
feasible,possible,evident,wrong
expeditiously,rapidly,repeatedly,wrong
percentage,proportion,profit,wrong
terminated,ended,evaluated,wrong
uniform,alike,hard,wrong
figure,solve,list,wrong
sufficient,enough,physiological,wrong
fashion,manner,craze,wrong
marketed,sold,diluted,wrong
bigger,larger,larger,correct
roots,origins,rituals,wrong
normally,ordinarily,permanently,wrong
