question,answer,guess,label
enormously,tremendously,decidedly,wrong
provisions,stipulations,stipulations,correct
haphazardly,randomly,densely,guess
prominent,conspicuous,mysterious,wrong
zenith,pinnacle,decline,guess
flawed,imperfect,lustrous,guess
urgently,desperately,conceivably,guess
consumed,eaten,supplied,wrong
advent,coming,coming,guess
concisely,succinctly,freely,guess
salutes,greetings,greetings,correct
solitary,alone,alert,wrong
hasten,accelerate,permit,wrong
perseverance,endurance,generosity,guess
fanciful,imaginative,logical,guess
showed,demonstrated,published,wrong
constantly,continually,accidentally,wrong
issues,subjects,benefits,wrong
furnish,supply,protect,wrong
costly,expensive,popular,wrong
recognized,acknowledged,welcomed,wrong
spot,location,sea,wrong
make,earn,borrow,wrong
often,frequently,definitely,wrong
easygoing,relaxed,relaxed,guess
debate,argument,election,wrong
narrow,thin,thin,correct
arranged,planned,discarded,wrong
infinite,limitless,unusual,wrong
showy,striking,entertaining,guess
levied,imposed,imposed,correct
deftly,skillfully,occasionally,wrong
distribute,circulate,research,wrong
discrepancies,differences,weights,guess
prolific,productive,capable,guess
unmatched,unequaled,alienated,guess
peculiarly,uniquely,partly,wrong
hue,color,contrast,wrong
hind,rear,hairy,wrong
highlight,accentuate,accentuate,guess
hastily,hurriedly,hurriedly,correct
temperate,mild,windy,wrong
grin,smile,exercise,wrong
verbally,orally,overtly,guess
physician,doctor,nurse,wrong
essentially,basically,possibly,guess
keen,sharp,sharp,correct
situated,positioned,emptying,wrong
principal,major,major,correct
slowly,gradually,gradually,correct
built,constructed,organized,wrong
tasks,jobs,shops,guess
unlikely,improbable,disagreeable,wrong
halfheartedly,apathetically,apathetically,guess
annals,chronicles,trails,guess
wildly,furiously,furiously,correct
hailed,acclaimed,addressed,wrong
command,mastery,observation,wrong
concocted,devised,cleaned,guess
prospective,potential,prudent,guess
generally,broadly,accurately,wrong
sustained,prolonged,refined,guess
perilous,dangerous,offensive,wrong
tranquillity,peacefulness,weariness,wrong
dissipate,disperse,disperse,guess
primarily,chiefly,cautiously,guess
colloquial,conversational,incorrect,guess
resolved,settled,forgotten,wrong
feasible,possible,equitable,guess
expeditiously,rapidly,rapidly,guess
percentage,proportion,proportion,guess
terminated,ended,ended,guess
uniform,alike,sharp,wrong
figure,solve,divide,wrong
sufficient,enough,valuable,wrong
fashion,manner,fathom,wrong
marketed,sold,sweetened,guess
bigger,larger,larger,correct
roots,origins,function,wrong
normally,ordinarily,periodically,guess
