question,answer,guess,label
enormously,tremendously,decidedly,wrong
provisions,stipulations,stipulations,guess
haphazardly,randomly,densely,guess
prominent,conspicuous,battered,wrong
zenith,pinnacle,decline,guess
flawed,imperfect,tiny,guess
urgently,desperately,conceivably,guess
consumed,eaten,supplied,wrong
advent,coming,stability,guess
concisely,succinctly,freely,guess
salutes,greetings,greetings,correct
solitary,alone,alert,wrong
hasten,accelerate,determine,wrong
perseverance,endurance,disturbance,guess
fanciful,imaginative,logical,guess
showed,demonstrated,repeated,wrong
constantly,continually,continually,correct
issues,subjects,benefits,wrong
furnish,supply,supply,correct
costly,expensive,popular,wrong
recognized,acknowledged,welcomed,wrong
spot,location,sea,wrong
make,earn,earn,correct
often,frequently,definitely,wrong
easygoing,relaxed,relaxed,guess
debate,argument,election,wrong
narrow,thin,freezing,wrong
arranged,planned,studied,wrong
infinite,limitless,unusual,wrong
showy,striking,striking,guess
levied,imposed,imposed,correct
deftly,skillfully,skillfully,correct
distribute,circulate,research,wrong
discrepancies,differences,differences,guess
prolific,productive,capable,guess
unmatched,unequaled,alienated,guess
peculiarly,uniquely,partly,wrong
hue,color,color,correct
hind,rear,hairy,wrong
highlight,accentuate,restore,guess
hastily,hurriedly,hurriedly,correct
temperate,mild,windy,wrong
grin,smile,exercise,wrong
verbally,orally,verbosely,guess
physician,doctor,nurse,wrong
essentially,basically,basically,guess
keen,sharp,sharp,correct
situated,positioned,emptying,wrong
principal,major,major,correct
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,customers,guess
unlikely,improbable,improbable,correct
halfheartedly,apathetically,bipartisanly,guess
annals,chronicles,chronicles,guess
wildly,furiously,abruptly,wrong
hailed,acclaimed,judged,wrong
command,mastery,observation,wrong
concocted,devised,devised,guess
prospective,potential,particular,guess
generally,broadly,accurately,wrong
sustained,prolonged,analyzed,guess
perilous,dangerous,exciting,wrong
tranquillity,peacefulness,weariness,wrong
dissipate,disperse,disguise,guess
primarily,chiefly,cautiously,guess
colloquial,conversational,misunderstood,guess
resolved,settled,forgotten,wrong
feasible,possible,possible,guess
expeditiously,rapidly,frequently,guess
percentage,proportion,proportion,guess
terminated,ended,ended,guess
uniform,alike,sharp,wrong
figure,solve,divide,wrong
sufficient,enough,valuable,wrong
fashion,manner,manner,correct
marketed,sold,sold,guess
bigger,larger,larger,correct
roots,origins,function,wrong
normally,ordinarily,permanently,guess
