question,answer,guess,label
enormously,tremendously,decidedly,wrong
provisions,stipulations,interrelations,guess
haphazardly,randomly,densely,guess
prominent,conspicuous,conspicuous,correct
zenith,pinnacle,completion,guess
flawed,imperfect,imperfect,guess
urgently,desperately,typically,guess
consumed,eaten,supplied,wrong
advent,coming,stability,guess
concisely,succinctly,powerfully,guess
salutes,greetings,greetings,correct
solitary,alone,fearless,wrong
hasten,accelerate,accompany,wrong
perseverance,endurance,skill,guess
fanciful,imaginative,imaginative,guess
showed,demonstrated,repeated,wrong
constantly,continually,continually,correct
issues,subjects,benefits,wrong
furnish,supply,supply,correct
costly,expensive,popular,wrong
recognized,acknowledged,welcomed,wrong
spot,location,sea,wrong
make,earn,earn,correct
often,frequently,definitely,wrong
easygoing,relaxed,farming,guess
debate,argument,election,wrong
narrow,thin,thin,correct
arranged,planned,explained,wrong
infinite,limitless,unusual,wrong
showy,striking,prickly,guess
levied,imposed,imposed,correct
deftly,skillfully,occasionally,wrong
distribute,circulate,research,wrong
discrepancies,differences,differences,guess
prolific,productive,productive,guess
unmatched,unequaled,alienated,guess
peculiarly,uniquely,partly,wrong
hue,color,contrast,wrong
hind,rear,hairy,wrong
highlight,accentuate,imitate,guess
hastily,hurriedly,hurriedly,correct
temperate,mild,mild,correct
grin,smile,joke,wrong
verbally,orally,overtly,guess
physician,doctor,doctor,correct
essentially,basically,basically,guess
keen,sharp,sharp,correct
situated,positioned,emptying,wrong
principal,major,exceptional,wrong
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,customers,guess
unlikely,improbable,improbable,correct
halfheartedly,apathetically,apathetically,guess
annals,chronicles,homes,guess
wildly,furiously,abruptly,wrong
hailed,acclaimed,judged,wrong
command,mastery,observation,wrong
concocted,devised,cleaned,guess
prospective,potential,prudent,guess
generally,broadly,accurately,wrong
sustained,prolonged,prolonged,guess
perilous,dangerous,offensive,wrong
tranquillity,peacefulness,weariness,wrong
dissipate,disperse,isolate,guess
primarily,chiefly,chiefly,guess
colloquial,conversational,recorded,guess
resolved,settled,forgotten,wrong
feasible,possible,evident,guess
expeditiously,rapidly,actually,guess
percentage,proportion,profit,guess
terminated,ended,evaluated,guess
uniform,alike,sharp,wrong
figure,solve,divide,wrong
sufficient,enough,valuable,wrong
fashion,manner,manner,correct
marketed,sold,frozen,guess
bigger,larger,larger,correct
roots,origins,function,wrong
normally,ordinarily,permanently,guess
