question,answer,guess,label
enormously,tremendously,decidedly,wrong
provisions,stipulations,interpretations,guess
haphazardly,randomly,randomly,guess
prominent,conspicuous,conspicuous,correct
zenith,pinnacle,decline,guess
flawed,imperfect,crude,guess
urgently,desperately,typically,guess
consumed,eaten,supplied,wrong
advent,coming,stability,guess
concisely,succinctly,positively,guess
salutes,greetings,greetings,correct
solitary,alone,alert,wrong
hasten,accelerate,accompany,wrong
perseverance,endurance,skill,guess
fanciful,imaginative,apparent,guess
showed,demonstrated,repeated,wrong
constantly,continually,continually,correct
issues,subjects,benefits,wrong
furnish,supply,supply,correct
costly,expensive,complicated,wrong
recognized,acknowledged,welcomed,wrong
spot,location,sea,wrong
make,earn,borrow,wrong
often,frequently,definitely,wrong
easygoing,relaxed,farming,guess
debate,argument,election,wrong
narrow,thin,thin,correct
arranged,planned,studied,wrong
infinite,limitless,relative,wrong
showy,striking,prickly,guess
levied,imposed,requested,wrong
deftly,skillfully,skillfully,correct
distribute,circulate,research,wrong
discrepancies,differences,weights,guess
prolific,productive,promising,guess
unmatched,unequaled,unrecognized,guess
peculiarly,uniquely,partly,wrong
hue,color,scent,wrong
hind,rear,hairy,wrong
highlight,accentuate,accentuate,guess
hastily,hurriedly,hurriedly,correct
temperate,mild,mild,correct
grin,smile,joke,wrong
verbally,orally,fittingly,guess
physician,doctor,nurse,wrong
essentially,basically,basically,guess
keen,sharp,sharp,correct
situated,positioned,emptying,wrong
principal,major,exceptional,wrong
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,jobs,guess
unlikely,improbable,improbable,correct
halfheartedly,apathetically,bipartisanly,guess
annals,chronicles,trails,guess
wildly,furiously,abruptly,wrong
hailed,acclaimed,judged,wrong
command,mastery,observation,wrong
concocted,devised,devised,guess
prospective,potential,prominent,guess
generally,broadly,accurately,wrong
sustained,prolonged,prolonged,guess
perilous,dangerous,offensive,wrong
tranquillity,peacefulness,weariness,wrong
dissipate,disperse,photograph,guess
primarily,chiefly,consistently,guess
colloquial,conversational,misunderstood,guess
resolved,settled,forgotten,wrong
feasible,possible,possible,guess
expeditiously,rapidly,rapidly,guess
percentage,proportion,proportion,guess
terminated,ended,posed,guess
uniform,alike,sharp,wrong
figure,solve,divide,wrong
sufficient,enough,valuable,wrong
fashion,manner,manner,correct
marketed,sold,sweetened,guess
bigger,larger,larger,correct
roots,origins,function,wrong
normally,ordinarily,ordinarily,guess
